blk,ccache,tcache,smp,intra,ccp,simd,mshr,dramq,inter,runtime
16,8,16,1,8,1,16,3,32,2,25523
16,8,16,2,4,4,32,1,32,6,21010
16,8,32,4,4,1,16,3,16,2,25637
16,8,32,8,1,4,32,1,32,10,21127
16,8,64,2,8,1,32,3,64,10,20427
16,8,64,4,2,2,64,1,16,6,20514
16,8,64,8,2,1,16,2,32,2,25523
16,8,128,4,1,1,64,1,64,2,19611
16,8,256,1,4,2,32,2,32,6,21631
16,8,256,4,4,1,16,3,64,10,25552
16,16,8,8,4,4,16,1,16,2,25626
16,16,16,2,2,4,64,2,64,6,19686
16,16,16,8,1,8,32,1,64,6,20465
16,16,32,2,2,1,32,2,16,6,21238
16,16,32,8,2,8,16,1,16,6,25626
16,16,128,8,4,1,32,1,64,6,20448
16,32,8,2,4,4,32,1,16,10,21389
16,32,32,2,2,8,16,1,32,2,25525
16,32,32,2,4,4,16,1,16,10,25626
16,32,64,1,2,1,64,1,64,10,20155
16,32,64,4,1,4,32,3,32,2,21127
16,32,64,4,4,8,64,2,32,6,20148
16,32,256,8,1,2,32,3,64,2,20465
16,32,256,8,4,8,64,1,16,6,20443
16,32,256,8,8,1,32,1,16,2,21266
16,64,8,2,2,2,64,3,32,10,20242
16,64,8,4,1,1,32,3,32,2,21127
16,64,16,8,4,2,32,1,64,2,20427
16,64,64,8,1,1,64,1,32,6,20264
16,64,64,8,1,1,64,1,64,6,19611
16,64,128,1,2,8,64,2,64,2,20051
16,64,128,2,8,4,64,1,16,10,20617
16,64,128,4,2,2,16,1,32,6,25525
16,64,256,1,8,1,32,1,64,2,20979
16,64,256,2,1,1,16,3,64,2,26571
16,128,16,1,8,2,16,3,16,2,25626
16,128,32,1,2,2,16,2,32,10,25525
16,128,32,2,2,8,16,2,16,10,25637
16,128,64,4,2,8,16,2,32,6,25523
16,128,64,4,4,4,16,1,32,10,25525
16,128,64,8,1,1,64,2,16,10,20664
16,256,8,1,8,4,64,1,32,6,20500
16,256,8,4,1,4,64,3,32,2,20137
16,256,8,8,1,2,64,3,64,10,19611
16,256,16,1,1,2,64,1,64,6,20246
16,256,256,8,8,2,32,2,32,6,20921
